feature_id,rank,transformation,count,pattern_type
1.91,0,1.91→1.60,1,changes
1.92,0,1.92→1.73,3,changes
1.92,0,1.92→1.77,3,changes
1.92,0,1.92→1.75,2,changes
1.92,0,1.92→2.00,2,changes
1.92,0,1.92→1.80,2,changes
1.92,0,1.92→1.90,2,changes
1.92,0,1.92→1.64,2,changes
1.92,0,1.92→1.78,1,changes
1.92,0,1.92→1.70,1,changes
1.92,0,1.92→1.71,1,changes
1.92,0,1.92→1.82,1,changes
1.92,0,1.92→1.67,1,changes
1.92,0,1.92→1.79,1,changes
1.92,0,1.92→1.62,1,changes
1.93,0,1.93→1.77,6,changes
1.93,0,1.93→1.69,4,changes
1.93,0,1.93→1.67,3,changes
1.93,0,1.93→1.92,3,changes
1.93,0,1.93→2.00,3,changes
1.93,0,1.93→1.73,2,changes
1.93,0,1.93→1.85,2,changes
1.93,0,1.93→1.83,2,changes
1.93,0,1.93→1.87,1,changes
1.93,0,1.93→2.12,1,changes
1.93,0,1.93→1.88,1,changes
1.93,0,1.93→1.91,1,changes
1.93,0,1.93→1.81,1,changes
1.93,0,1.93→1.71,1,changes
1.94,0,1.94→1.86,3,changes
1.94,0,1.94→2.00,3,changes
1.94,0,1.94→1.71,2,changes
1.94,0,1.94→1.69,1,changes
1.94,0,1.94→1.76,1,changes
1.94,0,1.94→1.59,1,changes
1.94,0,1.94→1.80,1,changes
1.94,0,1.94→1.87,1,changes
1.94,0,1.94→1.82,1,changes
1.94,0,1.94→1.81,1,changes
1.94,0,1.94→1.78,1,changes
1.94,0,1.94→1.85,1,changes
1.94,0,1.94→1.62,1,changes
1.94,0,1.94→1.90,1,changes
1.94,0,1.94→1.93,1,changes
1.94,0,1.94→1.83,1,changes
1.94,0,1.94→1.67,1,changes
1.94,0,1.94→1.77,1,changes
1.95,0,1.95→1.87,2,changes
1.95,0,1.95→1.71,1,changes
1.95,0,1.95→1.81,1,changes
1.95,0,1.95→1.79,1,changes
1.95,0,1.95→1.75,1,changes
1.95,0,1.95→1.68,1,changes
1.95,0,1.95→1.94,1,changes
1.96,0,1.96→1.74,1,changes
10,0,10→9,14,changes
10,0,10→11,12,changes
10,0,10→6,5,changes
10,0,10→8,4,changes
10,0,10→12,4,changes
10,0,10→7,1,changes
10,0,10→5,1,changes
10,0,10→14,1,changes
11,0,11→8,20,changes
11,0,11→7,10,changes
11,0,11→10,8,changes
11,0,11→13,5,changes
11,0,11→9,2,changes
11,0,11→14,2,changes
11,0,11→6,1,changes
11,0,11→12,1,changes
12,0,12→8,6,changes
12,0,12→13,5,changes
12,0,12→11,4,changes
12,0,12→10,2,changes
12,0,12→6,2,changes
12,0,12→7,2,changes
12,0,12→9,1,changes
12,0,12→20,1,changes
12,0,12→21,1,changes
13,0,13→12,3,changes
13,0,13→10,2,changes
13,0,13→11,2,changes
13,0,13→7,2,changes
13,0,13→9,1,changes
13,0,13→18,1,changes
13,0,13→20,1,changes
13,0,13→14,1,changes
13,0,13→8,1,changes
13,0,13→15,1,changes
13,0,13→3,1,changes
14,0,14→11,6,changes
14,0,14→9,6,changes
14,0,14→16,3,changes
14,0,14→13,2,changes
14,0,14→12,1,changes
14,0,14→10,1,changes
14,0,14→8,1,changes
14,0,14→15,1,changes
14,0,14→19,1,changes
14,0,14→25,1,changes
15,0,15→16,6,changes
15,0,15→13,2,changes
15,0,15→10,2,changes
15,0,15→9,2,changes
15,0,15→8,2,changes
15,0,15→11,1,changes
15,0,15→12,1,changes
15,0,15→14,1,changes
15,0,15→17,1,changes
15,0,15→19,1,changes
16,0,16→13,28,changes
16,0,16→10,8,changes
16,0,16→17,5,changes
16,0,16→15,4,changes
16,0,16→12,2,changes
16,0,16→11,1,changes
16,0,16→14,1,changes
16,0,16→9,1,changes
17,0,17→16,4,changes
17,0,17→12,3,changes
17,0,17→19,3,changes
17,0,17→15,3,changes
17,0,17→10,3,changes
17,0,17→13,2,changes
17,0,17→9,2,changes
17,0,17→11,1,changes
17,0,17→14,1,changes
17,0,17→18,1,changes
17,0,17→20,1,changes
17,0,17→21,1,changes
18,0,18→11,9,changes
18,0,18→16,6,changes
18,0,18→14,4,changes
18,0,18→12,3,changes
