feature_id,canonical_value,headline_value,transformation,count,percentage
LENGTH-CHG,25,18,25→18,1,0.09784735812133072
LENGTH-CHG,25,17,25→17,1,0.09784735812133072
LENGTH-CHG,15,19,15→19,1,0.09784735812133072
LENGTH-CHG,15,17,15→17,1,0.09784735812133072
LENGTH-CHG,9,10,9→10,1,0.09784735812133072
LENGTH-CHG,27,17,27→17,1,0.09784735812133072
LENGTH-CHG,12,21,12→21,1,0.09784735812133072
LENGTH-CHG,13,14,13→14,1,0.09784735812133072
LENGTH-CHG,14,19,14→19,1,0.09784735812133072
LENGTH-CHG,13,20,13→20,1,0.09784735812133072
LENGTH-CHG,20,23,20→23,1,0.09784735812133072
LENGTH-CHG,17,20,17→20,1,0.09784735812133072
LENGTH-CHG,17,21,17→21,1,0.09784735812133072
LENGTH-CHG,7,12,7→12,1,0.09784735812133072
LENGTH-CHG,10,11,10→11,1,0.09784735812133072
LENGTH-CHG,30,28,30→28,1,0.09784735812133072
LENGTH-CHG,21,17,21→17,1,0.09784735812133072
LENGTH-CHG,4,3,4→3,1,0.09784735812133072
LENGTH-CHG,8,6,8→6,1,0.09784735812133072
LENGTH-CHG,16,9,16→9,1,0.09784735812133072
LENGTH-CHG,20,11,20→11,1,0.09784735812133072
LENGTH-CHG,23,16,23→16,1,0.09784735812133072
LENGTH-CHG,22,18,22→18,1,0.09784735812133072
LENGTH-CHG,8,4,8→4,1,0.09784735812133072
LENGTH-CHG,7,5,7→5,1,0.09784735812133072
LENGTH-CHG,26,16,26→16,1,0.09784735812133072
LENGTH-CHG,26,17,26→17,1,0.09784735812133072
LENGTH-CHG,11,6,11→6,1,0.09784735812133072
LENGTH-CHG,20,18,20→18,1,0.09784735812133072
LENGTH-CHG,26,21,26→21,1,0.09784735812133072
