feature_id,unique_transformations
FW-DEL,6
DEP-REL-CHG,821
LENGTH-CHG,140
CONST-REM,6
CONST-MOV,2
CLAUSE-TYPE-CHG,7
TED-SIMPLE,10
TED-RTED,47
PUNCT-DEL,7
H-STRUCT,2
H-TYPE,2
TREE-DEPTH-DIFF,91
CONST-COUNT-DIFF,325
DEP-DIST-DIFF,893
BRANCH-DIFF,596
HEAD-CHG,56
TED-ZHANG-SHASHA,40
TED-KLEIN,35
PUNCT-SUBST,11
C-DEL,4
C-ADD,4
POS-CHG,6
FORM-CHG,77
FEAT-CHG,32
CONST-ADD,5
FW-ADD,6
PUNCT-ADD,8
LEMMA-CHG,20
VERB-FORM-CHG,6
TOKEN-REORDER,2
