pair_unit,frequency,rank
CONST-MOV:CONST-FRONT→CONST-FRONT,10743,1
TED-SIMPLE:10→10,997,2
CLAUSE-TYPE-CHG:Part→Fin,986,3
FW-DEL:ART-DEL→ABSENT,920,4
FW-DEL:AUX-DEL→ABSENT,844,5
CONST-MOV:CONST-POST→CONST-POST,742,6
CLAUSE-TYPE-CHG:Fin→Part,631,7
CLAUSE-TYPE-CHG:Fin→Inf,507,8
C-ADD:ABSENT→NOUN-ADD,379,9
CLAUSE-TYPE-CHG:Inf→Fin,363,10
