feature_id,canonical_value,headline_value,transformation,count,percentage
POS-CHG,VERB,NOUN,VERB→NOUN,41,46.06741573033708
POS-CHG,NOUN,VERB,NOUN→VERB,21,23.595505617977526
POS-CHG,NOUN,ADJ,NOUN→ADJ,9,10.112359550561797
POS-CHG,ADJ,NOUN,ADJ→NOUN,8,8.98876404494382
POS-CHG,ADJ,VERB,ADJ→VERB,8,8.98876404494382
POS-CHG,VERB,ADJ,VERB→ADJ,2,2.247191011235955
