pair_unit,frequency
TED-RTED:27→27,14
TREE-DEPTH-DIFF:13→9,4
CONST-COUNT-DIFF:32→25,5
DEP-DIST-DIFF:2.57→2.30,1
BRANCH-DIFF:1.82→1.71,1
DEP-REL-CHG:flat→obl,4
DEP-REL-CHG:mark→nmod,9
DEP-REL-CHG:obl→compound,42
DEP-REL-CHG:det→ccomp,9
DEP-REL-CHG:aux→flat,6
TED-ZHANG-SHASHA:21→21,26
TREE-DEPTH-DIFF:10→9,42
CONST-COUNT-DIFF:28→27,3
DEP-DIST-DIFF:3.85→1.82,1
BRANCH-DIFF:1.93→1.73,2
DEP-REL-CHG:flat→mark,7
DEP-REL-CHG:aux→mark,66
DEP-REL-CHG:amod→advcl,5
LENGTH-CHG:13→11,21
TED-ZHANG-SHASHA:19→19,32
CONST-COUNT-DIFF:27→24,8
DEP-DIST-DIFF:2.83→2.20,1
BRANCH-DIFF:1.86→1.77,4
DEP-REL-CHG:amod→case,52
DEP-REL-CHG:nsubj→amod,32
DEP-REL-CHG:root→obl,57
DEP-REL-CHG:nsubj→nmod,8
DEP-REL-CHG:case→obj,18
LENGTH-CHG:16→10,8
TED-ZHANG-SHASHA:25→25,15
CONST-COUNT-DIFF:30→22,7
DEP-DIST-DIFF:2.73→2.22,1
BRANCH-DIFF:2.07→1.75,2
FORM-CHG:shared→shares,1
TED-KLEIN:9→9,18
TED-RTED:9→9,39
DEP-DIST-DIFF:3.17→2.11,1
FW-DEL:ADP-DEL→ABSENT,167
DEP-REL-CHG:punct→root,37
HEAD-CHG:9→8,4
PUNCT-ADD:→apostrophe,39
"PUNCT-SUBST:,→on",9
TREE-DEPTH-DIFF:7→8,21
CONST-COUNT-DIFF:32→27,11
DEP-DIST-DIFF:2.89→2.36,1
BRANCH-DIFF:2.38→2.17,1
DEP-REL-CHG:det→mark,16
DEP-REL-CHG:nmod→acl,11
DEP-REL-CHG:acl→case,20
DEP-REL-CHG:obj→amod,21
DEP-DIST-DIFF:2.88→2.00,2
BRANCH-DIFF:2.07→1.86,4
DEP-REL-CHG:det→cc,6
DEP-REL-CHG:cc→mark,7
DEP-REL-CHG:conj→xcomp,3
DEP-REL-CHG:xcomp→case,28
LENGTH-CHG:18→14,21
CONST-COUNT-DIFF:33→28,8
DEP-DIST-DIFF:2.53→1.77,1
BRANCH-DIFF:2.13→1.93,3
DEP-REL-CHG:aux:pass→amod,7
DEP-DIST-DIFF:2.42→1.89,1
BRANCH-DIFF:1.86→1.82,2
C-DEL:VERB-DEL→ABSENT,264
LEMMA-CHG:shareef→Shareef,1
DEP-REL-CHG:punct→flat,19
DEP-REL-CHG:nmod:poss→appos,3
DEP-REL-CHG:flat→case,20
FEAT-CHG:Number=ABSENT→Number=Sing,13
FEAT-CHG:Foreign=Yes→Foreign=ABSENT,6
LENGTH-CHG:16→12,39
CONST-REM:VP-REM→ABSENT,40
CLAUSE-TYPE-CHG:verbal→verbless,49
TED-ZHANG-SHASHA:16→16,33
TED-KLEIN:26→26,12
TREE-DEPTH-DIFF:6→7,10
CONST-COUNT-DIFF:25→22,8
DEP-DIST-DIFF:2.93→3.00,1
BRANCH-DIFF:2.67→2.10,1
FORM-CHG:cancelled→cancels,1
DEP-REL-CHG:obl:agent→flat,1
CONST-COUNT-DIFF:24→21,6
DEP-DIST-DIFF:2.31→1.82,1
BRANCH-DIFF:2.30→2.22,1
HEAD-CHG:3→12,2
LENGTH-CHG:19→13,16
CONST-REM:ADVP-REM→ABSENT,13
TED-RTED:23→23,31
TREE-DEPTH-DIFF:7→5,6
CONST-COUNT-DIFF:32→21,4
DEP-DIST-DIFF:4.06→5.58,1
BRANCH-DIFF:2.38→2.50,1
FW-DEL:CCONJ-DEL→ABSENT,98
DEP-REL-CHG:xcomp→flat,4
DEP-REL-CHG:punct→obj,41
DEP-REL-CHG:flat→xcomp,3
TED-RTED:19→19,44
CONST-COUNT-DIFF:26→19,7
DEP-DIST-DIFF:2.71→2.67,1
DEP-REL-CHG:mark→advmod,12
DEP-REL-CHG:nsubj:pass→compound,11
DEP-REL-CHG:aux:pass→nummod,7
LENGTH-CHG:17→12,22
TED-ZHANG-SHASHA:22→22,15
CONST-COUNT-DIFF:30→25,12
DEP-DIST-DIFF:3.50→3.27,1
BRANCH-DIFF:2.23→1.85,1
C-ADD:ABSENT→VERB-ADD,93
POS-CHG:ADJ→NOUN,8
DEP-REL-CHG:obj→nmod,37
LENGTH-CHG:12→9,27
CONST-COUNT-DIFF:21→17,5
DEP-DIST-DIFF:2.00→1.38,1
BRANCH-DIFF:2.22→2.00,7
DEP-REL-CHG:compound→mark,14
DEP-REL-CHG:advcl→obj,32
TED-RTED:10→10,51
CONST-COUNT-DIFF:24→20,9
DEP-DIST-DIFF:2.85→1.89,1
BRANCH-DIFF:2.30→1.90,2
FW-ADD:ABSENT→AUX-ADD,34
DEP-REL-CHG:case→mark,19
DEP-REL-CHG:nmod→nsubj:pass,2
DEP-REL-CHG:mark→aux:pass,6
DEP-REL-CHG:nsubj:pass→advcl,2
CONST-COUNT-DIFF:26→22,8
DEP-DIST-DIFF:2.64→2.25,1
BRANCH-DIFF:1.79→1.62,1
DEP-REL-CHG:nsubj→nmod:poss,15
DEP-REL-CHG:nmod→obj,7
DEP-REL-CHG:punct→nmod,20
DEP-REL-CHG:nmod:poss→nmod,14
DEP-REL-CHG:nsubj→parataxis,20
DEP-REL-CHG:ccomp→nmod:poss,7
TED-RTED:33→33,7
TREE-DEPTH-DIFF:10→8,36
CONST-COUNT-DIFF:34→27,9
DEP-DIST-DIFF:2.88→1.83,1
BRANCH-DIFF:1.94→1.86,3
FORM-CHG:fired→fires,1
DEP-REL-CHG:obj→mark,24
DEP-REL-CHG:advcl→compound,16
DEP-DIST-DIFF:2.64→1.62,1
BRANCH-DIFF:2.10→1.89,3
DEP-REL-CHG:root→acl,31
DEP-REL-CHG:nmod:poss→amod,12
DEP-REL-CHG:obj→appos,9
DEP-REL-CHG:appos→flat,2
DEP-REL-CHG:flat→root,25
HEAD-CHG:4→9,1
TED-KLEIN:19→19,23
TED-RTED:20→20,25
CONST-COUNT-DIFF:26→20,14
DEP-DIST-DIFF:3.07→2.11,1
BRANCH-DIFF:2.27→1.90,1
DEP-REL-CHG:nsubj→cop,11
DEP-REL-CHG:punct→cop,9
DEP-REL-CHG:cop→nmod:poss,4
DEP-REL-CHG:nmod:poss→nsubj,11
TED-ZHANG-SHASHA:18→18,31
DEP-DIST-DIFF:3.86→2.44,1
BRANCH-DIFF:2.27→1.75,1
DEP-REL-CHG:obl→flat,9
DEP-REL-CHG:punct→obl,30
HEAD-CHG:9→10,4
CONST-COUNT-DIFF:26→18,3
DEP-DIST-DIFF:3.71→3.11,1
BRANCH-DIFF:2.27→2.12,1
CONST-COUNT-DIFF:29→23,6
DEP-DIST-DIFF:2.23→1.67,1
BRANCH-DIFF:1.87→1.69,1
DEP-REL-CHG:nsubj→nsubj:pass,6
DEP-REL-CHG:punct→aux:pass,3
DEP-REL-CHG:nmod→advcl,2
DEP-REL-CHG:aux:pass→det,4
DEP-REL-CHG:ccomp→obl:unmarked,2
DEP-REL-CHG:mark→parataxis,5
DEP-REL-CHG:advcl→nsubj,5
CONST-COUNT-DIFF:31→26,6
DEP-DIST-DIFF:3.14→2.00,1
BRANCH-DIFF:1.88→1.67,3
FORM-CHG:took→takes,1
DEP-REL-CHG:compound→cc,8
DEP-REL-CHG:obl→conj,8
DEP-REL-CHG:cc→obj,10
DEP-REL-CHG:conj→punct,10
DEP-REL-CHG:xcomp→punct,11
DEP-DIST-DIFF:3.24→2.08,2
DEP-REL-CHG:obj→cc,13
DEP-REL-CHG:conj→nmod,6
DEP-DIST-DIFF:3.88→2.64,1
C-ADD:ABSENT→ADJ-ADD,58
DEP-REL-CHG:root→nsubj,29
DEP-REL-CHG:punct→aux,4
DEP-REL-CHG:amod→xcomp,7
DEP-REL-CHG:xcomp→nmod:poss,3
LENGTH-CHG:19→12,7
CONST-COUNT-DIFF:33→25,4
DEP-DIST-DIFF:3.78→2.00,1
BRANCH-DIFF:2.29→1.85,1
DEP-REL-CHG:mark→obl,11
TED-ZHANG-SHASHA:26→26,15
TED-KLEIN:22→22,23
TED-RTED:29→29,22
DEP-DIST-DIFF:2.94→2.36,2
BRANCH-DIFF:2.07→1.73,1
FORM-CHG:years→yrs,1
LENGTH-CHG:15→14,5
CONST-COUNT-DIFF:30→29,1
DEP-DIST-DIFF:3.00→2.46,1
BRANCH-DIFF:1.93→1.87,1
DEP-REL-CHG:aux→acl,34
TED-ZHANG-SHASHA:12→12,49
TED-RTED:12→12,53
CONST-COUNT-DIFF:23→18,3
DEP-DIST-DIFF:2.55→1.88,1
FW-ADD:ABSENT→PRON-PERS-ADD,35
DEP-REL-CHG:root→flat,17
DEP-REL-CHG:cop→conj,1
DEP-REL-CHG:advmod→nsubj,11
DEP-REL-CHG:ccomp→aux,2
DEP-REL-CHG:cc→advmod,3
DEP-REL-CHG:nsubj→conj,10
DEP-REL-CHG:conj→parataxis,3
LENGTH-CHG:18→15,8
TED-RTED:21→21,23
CONST-COUNT-DIFF:32→30,2
DEP-DIST-DIFF:3.65→2.57,2
BRANCH-DIFF:2.21→1.93,2
DEP-REL-CHG:aux:pass→mark,12
DEP-REL-CHG:mark→nummod,7
DEP-REL-CHG:nummod→acl,4
DEP-REL-CHG:obj→nmod:poss,8
DEP-REL-CHG:acl→flat,1
TREE-DEPTH-DIFF:12→8,6
DEP-DIST-DIFF:2.38→1.80,2
BRANCH-DIFF:2.00→1.91,7
DEP-REL-CHG:det→nmod:poss,29
LENGTH-CHG:17→11,13
TED-ZHANG-SHASHA:31→31,3
TED-RTED:30→30,16
TREE-DEPTH-DIFF:10→7,21
CONST-COUNT-DIFF:31→22,5
DEP-DIST-DIFF:3.38→1.80,1
BRANCH-DIFF:2.14→1.91,2
DEP-REL-CHG:amod→nsubj:pass,12
DEP-REL-CHG:advcl→case,17
TREE-DEPTH-DIFF:12→11,13
CONST-COUNT-DIFF:28→24,13
DEP-DIST-DIFF:2.23→1.60,3
BRANCH-DIFF:1.93→1.77,6
DEP-REL-CHG:obj→obl,50
DEP-REL-CHG:case→nummod,34
TREE-DEPTH-DIFF:10→10,34
CONST-COUNT-DIFF:27→23,18
DEP-DIST-DIFF:2.47→1.64,1
BRANCH-DIFF:2.36→2.00,5
DEP-REL-CHG:root→det,30
DEP-DIST-DIFF:2.93→1.80,1
BRANCH-DIFF:2.08→1.91,7
DEP-REL-CHG:aux:pass→punct,7
DEP-REL-CHG:compound:prt→case,11
PUNCT-ADD:→hyphen,13
DEP-DIST-DIFF:2.77→2.18,1
BRANCH-DIFF:2.08→2.00,8
DEP-REL-CHG:det→nsubj:pass,15
DEP-REL-CHG:amod→conj,7
DEP-REL-CHG:root→aux:pass,3
DEP-REL-CHG:cc→amod,4
DEP-REL-CHG:conj→obl,12
DEP-REL-CHG:aux→parataxis,7
DEP-REL-CHG:ccomp→amod,4
LENGTH-CHG:16→13,28
TED-KLEIN:27→27,8
CONST-COUNT-DIFF:28→23,14
DEP-DIST-DIFF:3.20→2.25,2
BRANCH-DIFF:2.25→2.20,5
DEP-REL-CHG:cc→root,2
DEP-REL-CHG:conj→obj,18
DEP-REL-CHG:ccomp→nmod,11
DEP-REL-CHG:det→aux:pass,4
DEP-REL-CHG:obj→acl:relcl,2
DEP-REL-CHG:nmod→nsubj,5
TREE-DEPTH-DIFF:14→13,5
CONST-COUNT-DIFF:32→29,4
DEP-DIST-DIFF:3.00→2.00,3
BRANCH-DIFF:1.82→1.65,1
DEP-REL-CHG:punct→cc,6
DEP-REL-CHG:cop→nsubj,5
DEP-REL-CHG:ccomp→cop,2
DEP-REL-CHG:cc→ccomp,1
DEP-REL-CHG:nsubj→ccomp,10
DEP-REL-CHG:conj→nsubj,8
DEP-REL-CHG:nsubj→punct,26
LENGTH-CHG:24→17,2
TREE-DEPTH-DIFF:13→15,1
CONST-COUNT-DIFF:47→40,1
DEP-DIST-DIFF:4.13→2.06,1
BRANCH-DIFF:2.00→1.70,2
DEP-REL-CHG:root→nsubj:pass,6
DEP-REL-CHG:nummod→ccomp,2
DEP-REL-CHG:compound→advmod,8
DEP-REL-CHG:aux→obl,11
DEP-DIST-DIFF:3.38→1.89,1
BRANCH-DIFF:2.00→1.82,10
DEP-REL-CHG:nsubj→cc,6
DEP-REL-CHG:punct→conj,7
DEP-REL-CHG:ccomp→conj,5
LENGTH-CHG:21→13,4
CONST-COUNT-DIFF:36→29,3
DEP-DIST-DIFF:3.55→3.17,1
BRANCH-DIFF:2.33→1.75,1
DEP-REL-CHG:nummod→compound,37
DEP-REL-CHG:nmod→case,46
DEP-REL-CHG:aux:pass→obl,28
LENGTH-CHG:20→14,8
TREE-DEPTH-DIFF:9→10,10
CONST-COUNT-DIFF:35→27,3
DEP-DIST-DIFF:3.47→2.46,1
DEP-REL-CHG:amod→mark,10
DEP-REL-CHG:xcomp→advcl,2
TREE-DEPTH-DIFF:14→11,6
CONST-COUNT-DIFF:30→23,7
DEP-DIST-DIFF:2.46→1.89,1
BRANCH-DIFF:1.81→1.69,1
CONST-COUNT-DIFF:35→28,3
DEP-DIST-DIFF:3.22→2.42,1
BRANCH-DIFF:2.12→1.80,1
DEP-REL-CHG:conj→nummod,5
DEP-REL-CHG:acl→obl,4
DEP-DIST-DIFF:2.33→1.64,1
BRANCH-DIFF:2.15→1.92,8
DEP-REL-CHG:cop→obj,7
DEP-REL-CHG:ccomp→xcomp,6
DEP-REL-CHG:nmod→compound,14
LENGTH-CHG:21→14,2
