feature_id,canonical_value,headline_value,transformation,count
C-ADD,ABSENT,NOUN-ADD,ABSENT→NOUN-ADD,379
C-ADD,ABSENT,VERB-ADD,ABSENT→VERB-ADD,93
C-ADD,ABSENT,ADJ-ADD,ABSENT→ADJ-ADD,58
C-ADD,ABSENT,ADV-ADD,ABSENT→ADV-ADD,10
C-DEL,NOUN-DEL,ABSENT,NOUN-DEL→ABSENT,340
C-DEL,VERB-DEL,ABSENT,VERB-DEL→ABSENT,264
C-DEL,ADJ-DEL,ABSENT,ADJ-DEL→ABSENT,106
C-DEL,ADV-DEL,ABSENT,ADV-DEL→ABSENT,10
CLAUSE-TYPE-CHG,Part,Fin,Part→Fin,986
CLAUSE-TYPE-CHG,Fin,Part,Fin→Part,631
CLAUSE-TYPE-CHG,Fin,Inf,Fin→Inf,507
CLAUSE-TYPE-CHG,Inf,Fin,Inf→Fin,363
CLAUSE-TYPE-CHG,Fin,Ger,Fin→Ger,116
CLAUSE-TYPE-CHG,Ger,Fin,Ger→Fin,76
CLAUSE-TYPE-CHG,verbal,verbless,verbal→verbless,49
CONST-ADD,ABSENT,ADJP-ADD,ABSENT→ADJP-ADD,44
CONST-ADD,ABSENT,SBAR-ADD,ABSENT→SBAR-ADD,40
CONST-ADD,ABSENT,ADVP-ADD,ABSENT→ADVP-ADD,22
CONST-ADD,ABSENT,PP-ADD,ABSENT→PP-ADD,14
CONST-ADD,ABSENT,QP-ADD,ABSENT→QP-ADD,4
CONST-MOV,CONST-FRONT,CONST-FRONT,CONST-FRONT→CONST-FRONT,10743
CONST-MOV,CONST-POST,CONST-POST,CONST-POST→CONST-POST,742
CONST-REM,SBAR-REM,ABSENT,SBAR-REM→ABSENT,130
CONST-REM,VP-REM,ABSENT,VP-REM→ABSENT,40
CONST-REM,PP-REM,ABSENT,PP-REM→ABSENT,34
CONST-REM,ADJP-REM,ABSENT,ADJP-REM→ABSENT,25
CONST-REM,ADVP-REM,ABSENT,ADVP-REM→ABSENT,13
CONST-REM,QP-REM,ABSENT,QP-REM→ABSENT,12
DEP-REL-CHG,det,compound,det→compound,272
DEP-REL-CHG,nsubj,root,nsubj→root,212
DEP-REL-CHG,aux,root,aux→root,176
DEP-REL-CHG,case,obl,case→obl,167
DEP-REL-CHG,case,compound,case→compound,153
DEP-REL-CHG,root,case,root→case,143
DEP-REL-CHG,det,nsubj,det→nsubj,136
