feature_id,canonical_value,headline_value,transformation,count
DEP-REL-CHG,mark,advcl,mark→advcl,38
DEP-REL-CHG,amod,root,amod→root,37
DEP-REL-CHG,root,acl,root→acl,36
DEP-REL-CHG,compound,amod,compound→amod,36
DEP-REL-CHG,ccomp,case,ccomp→case,36
DEP-REL-CHG,case,obj,case→obj,35
DEP-REL-CHG,nsubj,aux,nsubj→aux,34
DEP-REL-CHG,obj,nmod,obj→nmod,33
DEP-REL-CHG,nummod,case,nummod→case,33
DEP-REL-CHG,punct,nmod,punct→nmod,33
DEP-REL-CHG,obj,nummod,obj→nummod,33
DEP-REL-CHG,nmod:poss,punct,nmod:poss→punct,32
DEP-REL-CHG,nummod,obl,nummod→obl,32
DEP-REL-CHG,advmod,case,advmod→case,32
DEP-REL-CHG,nmod:poss,compound,nmod:poss→compound,32
DEP-REL-CHG,nsubj,nmod:poss,nsubj→nmod:poss,31
DEP-REL-CHG,case,root,case→root,31
DEP-REL-CHG,compound,nummod,compound→nummod,31
DEP-REL-CHG,mark,root,mark→root,30
DEP-REL-CHG,mark,nsubj,mark→nsubj,29
DEP-REL-CHG,nsubj:pass,case,nsubj:pass→case,29
DEP-REL-CHG,nmod:poss,amod,nmod:poss→amod,28
DEP-REL-CHG,case,mark,case→mark,28
DEP-REL-CHG,det,nmod:poss,det→nmod:poss,28
DEP-REL-CHG,aux,obl,aux→obl,28
DEP-REL-CHG,obj,flat,obj→flat,28
DEP-REL-CHG,obj,advcl,obj→advcl,28
DEP-REL-CHG,ccomp,obj,ccomp→obj,28
DEP-REL-CHG,flat,punct,flat→punct,27
DEP-REL-CHG,advmod,punct,advmod→punct,27
DEP-REL-CHG,root,advmod,root→advmod,27
DEP-REL-CHG,root,nmod:poss,root→nmod:poss,27
DEP-REL-CHG,aux,acl,aux→acl,26
DEP-REL-CHG,ccomp,obl,ccomp→obl,26
DEP-REL-CHG,aux,advmod,aux→advmod,26
DEP-REL-CHG,nsubj,flat,nsubj→flat,26
DEP-REL-CHG,compound,flat,compound→flat,26
DEP-REL-CHG,det,appos,det→appos,26
DEP-REL-CHG,mark,amod,mark→amod,26
DEP-REL-CHG,amod,nmod,amod→nmod,26
DEP-REL-CHG,obl,nmod,obl→nmod,26
DEP-REL-CHG,mark,xcomp,mark→xcomp,25
DEP-REL-CHG,obj,mark,obj→mark,25
DEP-REL-CHG,flat,nsubj,flat→nsubj,24
DEP-REL-CHG,punct,flat,punct→flat,24
DEP-REL-CHG,det,flat,det→flat,24
DEP-REL-CHG,case,nmod:poss,case→nmod:poss,24
DEP-REL-CHG,nmod:poss,obj,nmod:poss→obj,24
DEP-REL-CHG,compound,appos,compound→appos,23
DEP-REL-CHG,xcomp,compound,xcomp→compound,23
DEP-REL-CHG,punct,parataxis,punct→parataxis,23
DEP-REL-CHG,aux,nmod:poss,aux→nmod:poss,23
DEP-REL-CHG,aux,xcomp,aux→xcomp,23
DEP-REL-CHG,obj,amod,obj→amod,23
DEP-REL-CHG,aux,nummod,aux→nummod,23
DEP-REL-CHG,aux,flat,aux→flat,22
DEP-REL-CHG,xcomp,case,xcomp→case,22
DEP-REL-CHG,ccomp,compound,ccomp→compound,22
DEP-REL-CHG,ccomp,flat,ccomp→flat,22
DEP-REL-CHG,xcomp,obj,xcomp→obj,22
DEP-REL-CHG,det,mark,det→mark,21
DEP-REL-CHG,punct,obl:unmarked,punct→obl:unmarked,21
DEP-REL-CHG,obl,compound,obl→compound,21
DEP-REL-CHG,nsubj,nmod,nsubj→nmod,21
DEP-REL-CHG,nsubj,acl:relcl,nsubj→acl:relcl,21
DEP-REL-CHG,root,flat,root→flat,20
DEP-REL-CHG,punct,nmod:poss,punct→nmod:poss,20
DEP-REL-CHG,root,xcomp,root→xcomp,20
DEP-REL-CHG,nsubj,nummod,nsubj→nummod,20
DEP-REL-CHG,obj,parataxis,obj→parataxis,20
DEP-REL-CHG,nmod,punct,nmod→punct,20
DEP-REL-CHG,cc,parataxis,cc→parataxis,20
DEP-REL-CHG,nmod,case,nmod→case,20
DEP-REL-CHG,obl,appos,obl→appos,20
DEP-REL-CHG,nmod:poss,obl,nmod:poss→obl,20
DEP-REL-CHG,aux,cop,aux→cop,20
DEP-REL-CHG,obl,obj,obl→obj,19
DEP-REL-CHG,cop,case,cop→case,19
DEP-REL-CHG,nsubj,xcomp,nsubj→xcomp,19
DEP-REL-CHG,case,nsubj,case→nsubj,19
DEP-REL-CHG,advcl,compound,advcl→compound,19
DEP-REL-CHG,ccomp,appos,ccomp→appos,18
DEP-REL-CHG,mark,obl,mark→obl,18
DEP-REL-CHG,advcl,punct,advcl→punct,18
DEP-REL-CHG,conj,case,conj→case,18
DEP-REL-CHG,nsubj,obl,nsubj→obl,18
DEP-REL-CHG,advcl,case,advcl→case,18
DEP-REL-CHG,cop,punct,cop→punct,18
DEP-REL-CHG,obj,appos,obj→appos,18
DEP-REL-CHG,root,cop,root→cop,17
DEP-REL-CHG,cc,compound,cc→compound,17
DEP-REL-CHG,aux:pass,root,aux:pass→root,17
DEP-REL-CHG,obl,nummod,obl→nummod,17
DEP-REL-CHG,root,det,root→det,17
DEP-REL-CHG,compound,mark,compound→mark,17
DEP-REL-CHG,nsubj,parataxis,nsubj→parataxis,16
DEP-REL-CHG,amod,flat,amod→flat,16
DEP-REL-CHG,nsubj:pass,acl,nsubj:pass→acl,16
DEP-REL-CHG,mark,advmod,mark→advmod,16
DEP-REL-CHG,flat,compound,flat→compound,16
DEP-REL-CHG,advcl,obj,advcl→obj,16
DEP-REL-CHG,amod,mark,amod→mark,16
DEP-REL-CHG,cc,obj,cc→obj,16
DEP-REL-CHG,obj,nsubj,obj→nsubj,16
DEP-REL-CHG,nmod,obj,nmod→obj,16
DEP-REL-CHG,aux:pass,punct,aux:pass→punct,16
DEP-REL-CHG,nsubj,det,nsubj→det,16
DEP-REL-CHG,mark,acl,mark→acl,15
DEP-REL-CHG,aux:pass,obl,aux:pass→obl,15
DEP-REL-CHG,punct,advmod,punct→advmod,15
DEP-REL-CHG,root,nmod,root→nmod,15
DEP-REL-CHG,root,advcl,root→advcl,15
DEP-REL-CHG,aux:pass,acl,aux:pass→acl,15
DEP-REL-CHG,flat,mark,flat→mark,15
