feature_id,rank,transformation,count,pattern_type
19,0,19→15,6,changes
19,0,19→16,3,changes
19,0,19→9,1,changes
19,0,19→17,1,changes
2,0,2→4,2,changes
2,0,2→3,1,changes
20,0,20→13,20,changes
20,0,20→14,18,changes
20,0,20→15,16,changes
20,0,20→12,7,changes
20,0,20→11,4,changes
20,0,20→16,4,changes
20,0,20→17,3,changes
21,0,21→14,13,changes
21,0,21→15,10,changes
21,0,21→13,10,changes
21,0,21→16,5,changes
21,0,21→12,3,changes
21,0,21→11,2,changes
21,0,21→17,1,changes
22,0,22→16,10,changes
22,0,22→13,5,changes
22,0,22→17,4,changes
22,0,22→15,4,changes
22,0,22→14,4,changes
22,0,22→12,3,changes
23,0,23→15,6,changes
23,0,23→16,5,changes
23,0,23→17,4,changes
23,0,23→13,3,changes
23,0,23→18,3,changes
23,0,23→11,1,changes
23,0,23→14,1,changes
23,0,23→12,1,changes
24,0,24→14,3,changes
24,0,24→16,2,changes
24,0,24→17,2,changes
24,0,24→13,1,changes
24,0,24→15,1,changes
25,0,25→15,3,changes
25,0,25→17,2,changes
25,0,25→20,1,changes
25,0,25→12,1,changes
25,0,25→18,1,changes
25,0,25→13,1,changes
25,0,25→10,1,changes
26,0,26→14,1,changes
26,0,26→13,1,changes
26,0,26→18,1,changes
27,0,27→19,1,changes
3,0,3→2,86,changes
3,0,3→4,3,changes
3,0,3→5,2,changes
3,0,3→6,1,changes
3,0,3→8,1,changes
4,0,4→3,40,changes
4,0,4→5,3,changes
4,0,4→2,3,changes
4,0,4→7,2,changes
4,0,4→6,1,changes
4,0,4→1,1,changes
5,0,5→4,13,changes
5,0,5→3,3,changes
5,0,5→2,1,changes
6,0,6→5,17,changes
6,0,6→3,5,changes
6,0,6→4,2,changes
6,0,6→8,1,changes
6,0,6→2,1,changes
7,0,7→6,7,changes
7,0,7→5,2,changes
7,0,7→8,2,changes
8,0,8→7,5,changes
8,0,8→5,2,changes
8,0,8→9,2,changes
8,0,8→6,1,changes
8,0,8→4,1,changes
8,0,8→3,1,changes
9,0,9→6,5,changes
9,0,9→7,4,changes
9,0,9→8,4,changes
9,0,9→10,3,changes
9,0,9→11,1,changes
9,0,9→5,1,changes
ADJ,0,ADJ→NOUN,7,changes
ADJ,0,ADJ→VERB,3,changes
Boo,0,Boo→boo,1,changes
Case=Nom,0,Case=Nom→Case=Acc,1,changes
Case=None,0,Case=None→Case=Nom,1,changes
Day,0,Day→day,1,changes
Emerging,0,Emerging→emerge,1,changes
Entertainment,0,Entertainment→entertainment,1,changes
Fin,0,Fin→Ger,140,changes
Fin,0,Fin→Inf,4,changes
Fin,0,Fin→Part,1,changes
Ger,0,Ger→Fin,66,changes
Ger,0,Ger→Part,1,changes
IT,0,IT→it,1,changes
Industries,0,Industries→industry,1,changes
Inf,0,Inf→Fin,1,changes
Inf,0,Inf→Ger,1,changes
Learning,0,Learning→Learnings,1,changes
Mood=Ind,0,Mood=Ind→Mood=None,7,changes
Mood=None,0,Mood=None→Mood=Ind,5,changes
NOUN,0,NOUN→VERB,16,changes
NOUN,0,NOUN→ADJ,9,changes
Number=None,0,Number=None→Number=Sing,5,changes
Number=Plur,0,Number=Plur→Number=Sing,8,changes
Number=Plur,0,Number=Plur→Number=None,1,changes
Number=Sing,0,Number=Sing→Number=None,7,changes
Number=Sing,0,Number=Sing→Number=Plur,6,changes
Part,0,Part→Fin,4,changes
Part,0,Part→Ger,1,changes
Person=3,0,Person=3→Person=None,8,changes
Person=3,0,Person=3→Person=1,1,changes
Person=None,0,Person=None→Person=3,6,changes
Reliance,0,Reliance→reliance,2,changes
Tense=None,0,Tense=None→Tense=Pres,2,changes
Tense=Past,0,Tense=Past→Tense=Pres,42,changes
Tense=Past,0,Tense=Past→Tense=None,2,changes
Tense=Pres,0,Tense=Pres→Tense=None,5,changes
Twinkle,0,Twinkle→twinkle,1,changes
VERB,0,VERB→NOUN,47,changes
VERB,0,VERB→ADJ,2,changes
Voice=None,0,Voice=None→Voice=Pass,1,changes
acl,0,acl→case,14,changes
acl,0,acl→compound,12,changes
acl,0,acl→obj,8,changes
acl,0,acl→amod,7,changes
acl,0,acl→punct,7,changes
acl,0,acl→obl,5,changes
acl,0,acl→nummod,5,changes
acl,0,acl→appos,4,changes
acl,0,acl→nsubj,3,changes
acl,0,acl→flat,3,changes
acl,0,acl→xcomp,3,changes
acl,0,acl→advmod,2,changes
acl,0,acl→mark,2,changes
acl,0,acl→root,2,changes
acl,0,acl→cc,1,changes
acl,0,acl→nmod:poss,1,changes
acl,0,acl→obl:agent,1,changes
acl,0,acl→det,1,changes
acl,0,acl→list,1,changes
acl,0,acl→parataxis,1,changes
acl:relcl,0,acl:relcl→obj,10,changes
