rule_count,rule_type,coverage_pct,coverage_events,accuracy_pct,f1_score,efficiency,weighted_f1
1,default,29.53203203203203,11801,91.16965389369591,44.61288371389686,29.53203203203203,64.36278609379501
2,syntactic,36.96446446446446,14771,92.94516861414294,52.89320431383631,18.48223223223223,48.145469388441654
3,morphological,43.973973973973976,17572,94.06971805141734,59.93202981808425,14.657991324657992,43.23182110447982
4,morphological,50.092592592592595,20017,94.7940793125596,65.54752252577764,12.523148148148149,40.726965619098735
5,default,56.013513513513516,22383,92.5748031641853,69.79606612403619,11.202702702702704,38.953926195298116
6,morphological,60.73823823823824,24271,93.15239665543075,73.5316020293212,10.12303970637304,37.78776839466037
7,default,65.45045045045045,26154,88.35355717434992,75.19674168787233,9.350064350064349,36.1619887747006
8,default,70.08508508508508,28006,86.7252477849486,77.52226857487577,8.760635635635635,35.28190489697645
9,morphological,74.66466466466467,29836,87.53945868967926,80.59109957041825,8.296073851629409,35.00026983394817
10,morphological,79.23923923923924,31664,88.25882041009571,83.50618269954857,7.923923923923924,34.824783069902765
11,morphological,83.65865865865865,33430,88.87906938274814,86.18988799488703,7.605332605332605,34.685362527497894
12,morphological,87.0995995995996,34805,89.31841084514497,88.19505221572929,7.2582999666333,34.384714832348045
13,morphological,90.33783783783784,36099,89.70130168329511,90.01844451003174,6.9490644490644495,34.110075404521545
14,default,93.45595595595596,37345,89.6694430885884,91.5235523592638,6.675425425425425,33.796844800739876
15,morphological,96.33383383383384,38495,89.97805824505348,93.04753674016546,6.422255588922256,33.55980495549258
16,syntactic,98.99149149149149,39557,90.24712066494763,94.41727537137602,6.186968218218218,33.32515554095266
17,morphological,101.62662662662663,40610,90.50000867134533,95.74113008001413,5.9780368603898015,33.12415775529924
18,morphological,104.00150150150151,41559,90.7169410270539,96.90605528598734,5.777861194527862,32.91155156267531
19,morphological,106.34884884884885,42497,90.92183806252991,98.03213000941565,5.597307834149939,32.7239289287741
20,syntactic,108.68868868868869,43432,91.11727187657334,99.13034395108315,5.434434434434435,32.56022774632892
21,syntactic,110.85085085085085,44296,91.29053079608393,100.1243083521306,5.2786119452786116,32.391760987736944
22,default,113.008008008008,45158,91.45678179156148,101.09661168770275,5.136727636727636,32.24264014715923
23,morphological,115.04254254254255,45971,91.6078691380073,101.99643055956999,5.0018496757627195,32.09399085238371
24,morphological,117.05705705705705,46776,91.75229502615302,102.87138508731505,4.877377377377377,31.958792660641762
25,morphological,118.95145145145145,47533,91.88364614359148,103.68001531153739,4.758058058058058,31.822266191810975
26,morphological,120.84584584584584,48290,92.01087910837303,104.47527570728812,4.6479171479171475,31.699164720475853
27,syntactic,122.53003003003003,48963,92.12069015671698,105.17133062930706,4.538149260371482,31.56208759341043
28,morphological,124.20170170170171,49631,92.22674038692216,105.85224370617864,4.435775060775061,31.43538585577847
29,syntactic,125.497997997998,50149,92.30703208724668,106.3735555010142,4.327517172344758,31.275325588140298
30,syntactic,126.65165165165165,50610,92.37710634545215,106.832666179904,4.221721721721722,31.110385629966633
31,syntactic,127.70770770770771,51032,92.44014250163298,107.24900277546752,4.119603474442184,30.94552088889073
32,morphological,128.75125125125126,51449,92.50141600698427,107.65676365393911,4.023476601601602,30.789798609440584
33,morphological,129.73723723723722,51843,92.55840426177755,108.0387502969874,3.931431431431431,30.637465892330237
34,morphological,130.7057057057057,52230,92.61354302399644,108.41088323298818,3.8442854619325204,30.49234037231575
35,syntactic,131.58658658658658,52582,92.66299022751767,108.74675225856109,3.7596167596167596,30.346359019219392
36,syntactic,132.43493493493494,52921,92.70998945869,109.06789442265368,3.678748192637082,30.205032919949375
37,syntactic,133.16566566566567,53213,92.74999252331824,109.34270420973814,3.599072045017991,30.05913795811307
38,syntactic,133.8838838838839,53500,92.78888508679128,109.61119302585635,3.523260102207471,29.919298107527304
39,syntactic,134.57457457457457,53776,92.82589542069573,109.86789416929436,3.4506301172967837,29.78354146182976
40,default,135.24274274274273,54043,92.86133915850958,110.11483966339267,3.381068568568568,29.652000199666663
41,default,135.83583583583584,54280,92.89250832983296,110.33290655687905,3.3130691667277032,29.519170452404136
42,lexical,136.42392392392392,54515,92.92314687963558,110.54809007381719,3.2481886648553315,29.391706549342217
43,morphological,136.96196196196198,54730,92.95094741719959,110.74405659829976,3.185161906092139,29.264933132759552
44,morphological,137.46996996996998,54933,92.97699656205438,110.92829832071072,3.1243174993174994,29.14056568419433
45,syntactic,137.96796796796798,55132,93.00234622620862,111.10817223287071,3.0659548437326216,29.020260903713282
46,morphological,138.43843843843842,55320,93.02612711755846,111.27743670998201,3.0095312704008355,28.90212226163945
47,morphological,138.8963963963964,55503,93.0491208068633,111.44158096921072,2.9552424765190723,28.78734032544462
48,lexical,139.33683683683682,55679,93.0710923713309,111.59887406728417,2.9028507674341006,28.67523819675395
49,syntactic,139.75975975975976,55848,93.09205973612902,111.74938578903662,2.852239995097138,28.565625926529123
50,syntactic,140.17767767767768,56015,93.11265468434051,111.89761327786101,2.8035535535535536,28.45945464787262
51,lexical,140.5930930930931,56181,93.13300496864302,112.04446012817391,2.756727315550845,28.356757544786436
52,syntactic,141.0085085085085,56347,93.15323534781503,112.19081787499037,2.7117020867020867,28.25757408215761
53,lexical,141.41141141141142,56508,93.17274283540974,112.33230233926857,2.6681398379511587,28.160629631001097
54,morphological,141.7842842842843,56657,93.19069756858524,112.46283542635537,2.625634894153413,28.06425875462393
55,syntactic,142.14714714714714,56802,93.20807985886648,112.58949131104532,2.5844935844935844,27.970100493376545
