rule_count,rule_type,coverage_pct,coverage_events,accuracy_pct,f1_score,efficiency,weighted_f1
1,default,24.708362614195362,5274,94.34704830053667,39.16094301095229,24.708362614195362,56.497298278436176
2,default,32.438510189739986,6924,95.69415550794778,48.45252881676595,16.219255094869993,44.103392358287586
3,syntactic,37.20777699695479,7942,96.2460756405226,53.668027538965774,12.402592332318264,38.71329859237912
4,default,41.85523541813071,8934,88.54915689489907,56.842346215092505,10.463808854532678,35.3181354657693
5,default,45.44389786835325,9700,89.45341935041529,60.26972421316114,9.08877957367065,33.63717354267824
6,default,48.12836729913329,10273,87.27242029343168,62.04216642528978,8.021394549855549,31.88336648298462
7,syntactic,50.50831576481612,10781,87.8721429992045,64.14596374627519,7.215473680688016,30.84768792993148
8,syntactic,52.66807214804404,11242,88.3694692825497,66.00015196873099,6.583509018505505,30.037963642635717
9,morphological,54.626376200515345,11660,88.78641283657149,67.63804011719733,6.069597355612816,29.374827589649573
10,syntactic,56.57062543921293,12075,89.17180734363757,69.22493081326091,5.657062543921294,28.869038443232192
11,morphological,58.43523073319278,12473,89.51732331230848,70.71139090662585,5.3122937030175255,28.45635706784341
12,syntactic,60.22487702037948,12855,89.8288272014332,72.1065847610687,5.01873975169829,28.11228399161483
13,syntactic,61.99578355586789,13233,90.11936625666317,73.45778157567607,4.768906427374453,27.83485631454065
14,default,63.6448817053174,13585,90.37538267754314,74.69056831751683,4.546062978951243,27.58093933676593
15,morphological,65.24244553759662,13926,90.61105656142637,75.8620992559654,4.349496369173108,27.361468597001902
16,morphological,66.7650503630827,14251,90.8251753332695,76.95842021377241,4.172815647692668,27.162945697408595
17,morphological,68.2782853127196,14574,91.02851472995908,78.02894664458968,4.016369724277624,26.99616284009956
18,morphological,69.7118763176388,14880,91.21300898349621,79.02606223914228,3.8728820176466,26.83908982264399
19,morphological,71.07987819161396,15172,91.38212323190244,79.96245437457065,3.741046220611261,26.692123017958174
20,morphological,72.4197704380417,15458,91.54156900468519,80.86564107599484,3.6209885219020848,26.561026476278187
21,morphological,73.74560787069571,15741,91.6936391382011,81.7460581860508,3.511695612890272,26.44611305717797
22,morphological,74.98243148278286,16005,91.83065127612768,82.55570130891023,3.4082923401264935,26.32940634669494
23,morphological,76.20988521902085,16267,91.96222866382392,83.34831178774046,3.313473270392211,26.226211460557657
24,syntactic,77.43733895525884,16529,92.08963480394601,84.13028447860162,3.2265557898024517,26.136542400496733
25,default,78.43991567111736,16743,92.19074082747558,84.76125081573079,3.1375966268446946,26.015573764184126
26,syntactic,79.36284844225814,16940,92.28155688751025,85.33604342312857,3.052417247779159,25.892071389620924
27,morphological,80.18271257905833,17115,92.36047757373203,85.84185351390819,2.969730095520679,25.76128003301776
28,morphological,80.96978215038651,17283,92.43473781602867,86.32324677051682,2.8917779339423753,25.635777528600318
29,morphological,81.73811197001639,17447,92.50585050005294,86.78927474865884,2.818555585172979,25.517270834262835
30,morphological,82.4689622862497,17603,92.57226459549075,87.22903436727039,2.7489654095416567,25.401677167969684
31,syntactic,83.13890840946357,17746,92.63211843088153,87.62915422909663,2.6819002712730184,25.284429248722365
32,morphological,83.77137502928086,17881,92.68774529804953,88.00429082473188,2.617855469665027,25.169197914681973
33,syntactic,84.39447177324901,18014,92.74173274533273,88.37142658272481,2.5574082355530003,25.06023589075422
34,syntactic,85.00351370344343,18144,92.7937375261477,88.72796047012056,2.5001033442189247,24.956195268530323
35,morphological,85.60318575778871,18272,92.8442192247386,89.07678927144232,2.445805307365392,24.857351335729046
36,morphological,86.20285781213398,18400,92.89399856926217,89.42343614578927,2.394523828114833,24.76473802759635
37,morphological,86.80252986647928,18528,92.94309011627935,89.76792153794985,2.346014320715656,24.677881868976012
38,syntactic,87.35066760365426,18645,92.98737321933085,90.08092904138338,2.298701779043533,24.58834810014702
39,morphological,87.89412040290466,18761,93.03073256619709,90.38951006626148,2.2536953949462735,24.50324310962688
40,syntactic,88.42351838838135,18874,93.07245807324487,90.688447957208,2.210587959709534,24.420812718383967
41,syntactic,88.93417662215975,18983,93.11223587812377,90.97526194048305,2.1691262590770672,24.340102585703132
42,lexical,89.42609510423986,19088,93.15012435427617,91.25012999154556,2.12919274057714,24.26090800401858
43,morphological,89.84773951745139,19178,93.18226997989485,91.48462969314124,2.0894823143593344,24.175487632319147
44,morphological,90.26001405481378,19266,93.21341086237017,91.71294184247462,2.0513639557912224,24.092743207188892
45,morphological,90.64417896462872,19348,93.2421735411631,91.92482367879859,2.0143150881028604,24.009776356462798
46,syntactic,91.01897399859452,19428,93.27000070385132,92.13073959111964,1.978673347795533,23.929144833356364
47,morphological,91.38439915671117,19506,93.29691242050772,92.33075303517717,1.9443489182278972,23.850673931685957
48,morphological,91.74045443897869,19582,93.32292787633662,92.52492530763207,1.9112594674787227,23.77420287173856
49,syntactic,92.08713984539705,19656,93.34806540875171,92.71331559518596,1.8793293845999397,23.699583429479112
50,syntactic,92.42445537596628,19728,93.37234254229642,92.89598102165837,1.8484891075193255,23.626678723616642
51,morphological,92.75708596861091,19799,93.39610958505095,93.07550096197058,1.8187663915413903,23.556000993881106
52,lexical,93.08503162333099,19869,93.41937559386098,93.25190392160118,1.7900967619871344,23.487417538064857
53,morphological,93.40360740220193,19937,93.441820418038,93.42271000251945,1.7623322151358853,23.42017639378246
54,default,93.71749824314828,20004,93.46378592653588,93.59047013939389,1.7355092267249683,23.354801263914513
55,syntactic,94.01264933239635,20067,93.4843062577577,93.74773339257823,1.709320896952661,23.289327391778055
