Newspaper,Direction,Direction_Label,Num_Transformations,Num_Patterns,Perplexity,Normalized_PP,Entropy
Times-of-India,C→H,Reduction,9815,467,71.95574798290862,1.0091984751220615,6.169038032099128
Times-of-India,H→C,Expansion,8660,452,86.14255949745161,1.0099071692824073,6.428654284956831
Times-of-India,BIDIRECTIONAL,Change,23141,2348,50.670788045773556,1.0016731825255685,5.663082361105005
Hindustan-Times,C→H,Reduction,13154,476,65.89685316796073,1.0088373305092173,6.0421376674442815
Hindustan-Times,H→C,Expansion,10355,444,89.81703928307131,1.010181606603594,6.4889172609813475
Hindustan-Times,BIDIRECTIONAL,Change,26058,2460,49.610783376061995,1.0015883365833735,5.632581833086242
The-Hindu,C→H,Reduction,6934,374,52.92386492464085,1.0106684160998383,5.725846517501856
The-Hindu,H→C,Expansion,6432,338,37.41175085721358,1.0107735527380766,5.225419579993197
The-Hindu,BIDIRECTIONAL,Change,18493,1764,124.9021499076775,1.0027404435376785,6.964654499662553
