rule_count,rule_type,coverage_pct,coverage_events,accuracy_pct,f1_score,efficiency,weighted_f1
1,default,24.708362614195362,5274,94.34704830053667,39.16094301095229,24.708362614195362,56.497298278436176
2,default,32.438510189739986,6924,95.69415550794778,48.45252881676595,16.219255094869993,44.103392358287586
3,syntactic,37.20777699695479,7942,96.2460756405226,53.668027538965774,12.402592332318264,38.71329859237912
4,default,41.85523541813071,8934,88.54915689489907,56.842346215092505,10.463808854532678,35.3181354657693
5,default,45.44389786835325,9700,89.45341935041529,60.26972421316114,9.08877957367065,33.63717354267824
6,default,48.12836729913329,10273,87.27242029343168,62.04216642528978,8.021394549855549,31.88336648298462
7,syntactic,50.50831576481612,10781,87.8721429992045,64.14596374627519,7.215473680688016,30.84768792993148
8,syntactic,52.66807214804404,11242,88.3694692825497,66.00015196873099,6.583509018505505,30.037963642635717
9,syntactic,54.61232138674163,11657,88.78352695156761,67.62642801607652,6.068035709637958,29.3697845182095
10,syntactic,56.40196767392832,12039,89.13942799854006,69.08878554058252,5.6401967673928315,28.812261454586018
11,syntactic,58.172874209416726,12417,89.47004700607422,70.50429166730504,5.288443109946975,28.373014202895753
12,default,59.82197235886625,12769,89.7603237273415,71.79512208911757,4.985164363238854,27.990853651851953
13,syntactic,61.049426095104245,13031,89.96620164794902,72.7392927559626,4.6961096996234035,27.562604244966167
14,default,62.05200281096276,13245,90.12831813321432,73.50020837715356,4.432285915068769,27.1413758678617
15,syntactic,62.97493558210354,13442,90.27299313155956,74.19266250424418,4.198329038806903,26.759346566305407
16,syntactic,63.6448817053174,13585,90.37538267754314,74.69056831751683,3.9778051065823377,26.362493482606876
17,syntactic,64.26797844928555,13718,90.46869614188829,75.15012493765306,3.7804693205462088,26.000158883490172
18,syntactic,64.87702037947997,13848,90.55817256458866,75.59606413092533,3.6042789099711094,25.674182642537318
19,syntactic,65.42515811665496,13965,90.63727702645353,75.99468988525058,3.4434293745607873,25.3676506929954
20,syntactic,65.95455610213165,14078,90.71242887302343,76.37726583192043,3.2977278051065824,25.086780404559086
21,syntactic,66.46521433591005,14187,90.78378611929398,76.7440655924958,3.1650102064719072,24.82789115662772
22,lexical,66.95713281799016,14292,90.85149549919002,77.09534916716649,3.0435060371813707,24.587941759069906
