feature,headline_value,canonical_value,transformation,frequency,confidence,coverage
Tense,Pres,Past,Pres → Past,27,0.6585365853658537,65.85365853658537
Mood,Ind,ABSENT,Ind → ABSENT,9,0.6428571428571429,64.28571428571429
Person,3,ABSENT,3 → ABSENT,8,0.7272727272727273,72.72727272727273
Degree,Pos,ABSENT,Pos → ABSENT,2,0.5,50.0
Degree,ABSENT,Pos,ABSENT → Pos,2,0.5,50.0
Abbr,Yes,ABSENT,Yes → ABSENT,2,0.6666666666666666,66.66666666666666
