feature_id,unique_transformations
FW-DEL,6
DEP-REL-CHG,821
LENGTH-CHG,140
CONST-REM,6
CONST-MOV,2
CLAUSE-TYPE-CHG,7
TED-SIMPLE,10
TED-RTED,47
HEAD-CHG,56
TED-ZHANG-SHASHA,40
TED-KLEIN,35
C-DEL,4
C-ADD,4
POS-CHG,6
FORM-CHG,77
FEAT-CHG,19
CONST-ADD,5
FW-ADD,6
LEMMA-CHG,20
VERB-FORM-CHG,6
TOKEN-REORDER,2
