pattern,transformation,instances,consistency,confidence
POS-CHG::VERB→ADJ::None,ADJ,8,1.0,1.0
DEP-REL-CHG::advcl→obl::None,obl,8,1.0,1.0
DEP-REL-CHG::nmod:poss→mark::None,mark,8,1.0,1.0
DEP-REL-CHG::parataxis→obj::None,obj,8,1.0,1.0
TOKEN-REORDER::FRONT→FRONT::None,FRONT,8,1.0,1.0
DEP-REL-CHG::appos→obl::None,obl,8,1.0,1.0
DEP-REL-CHG::appos→nmod::None,nmod,8,1.0,1.0
DEP-REL-CHG::det→compound::None,compound,8,1.0,1.0
DEP-REL-CHG::acl→punct::None,punct,8,1.0,1.0
LENGTH-CHG::9→14::None,14,7,1.0,1.0
DEP-REL-CHG::nsubj→nummod::None,nummod,7,1.0,1.0
DEP-REL-CHG::root→advmod::None,advmod,7,1.0,1.0
DEP-REL-CHG::parataxis→ccomp::None,ccomp,7,1.0,1.0
DEP-REL-CHG::cc→root::None,root,7,1.0,1.0
DEP-REL-CHG::obj→flat::None,flat,7,1.0,1.0
LENGTH-CHG::16→20::None,20,7,1.0,1.0
TED-KLEIN::28→28::None,28,7,1.0,1.0
DEP-REL-CHG::mark→flat::None,flat,7,1.0,1.0
DEP-REL-CHG::mark→cc::None,cc,7,1.0,1.0
DEP-REL-CHG::amod→aux:pass::None,aux:pass,7,1.0,1.0
DEP-REL-CHG::nummod→aux:pass::None,aux:pass,7,1.0,1.0
DEP-REL-CHG::obj→nmod::None,nmod,7,1.0,1.0
DEP-REL-CHG::nmod:poss→ccomp::None,ccomp,7,1.0,1.0
TED-RTED::33→33::None,33,7,1.0,1.0
DEP-REL-CHG::xcomp→amod::None,amod,7,1.0,1.0
LENGTH-CHG::12→19::None,19,7,1.0,1.0
DEP-REL-CHG::nummod→mark::None,mark,7,1.0,1.0
DEP-REL-CHG::punct→aux:pass::None,aux:pass,7,1.0,1.0
DEP-REL-CHG::conj→amod::None,amod,7,1.0,1.0
DEP-REL-CHG::parataxis→aux::None,aux,7,1.0,1.0
DEP-REL-CHG::conj→punct::None,punct,7,1.0,1.0
DEP-REL-CHG::obj→cop::None,cop,7,1.0,1.0
DEP-REL-CHG::obj→acl::None,acl,7,1.0,1.0
DEP-REL-CHG::acl→case::None,case,7,1.0,1.0
DEP-REL-CHG::cc→amod::None,amod,7,1.0,1.0
DEP-REL-CHG::xcomp→compound::None,compound,7,1.0,1.0
DEP-REL-CHG::acl→obj::None,obj,7,1.0,1.0
DEP-REL-CHG::aux→root::None,root,7,1.0,1.0
LENGTH-CHG::15→20::None,20,7,1.0,1.0
DEP-REL-CHG::compound→conj::None,conj,7,1.0,1.0
TED-RTED::36→36::None,36,7,1.0,1.0
DEP-REL-CHG::nummod→advcl::None,advcl,7,1.0,1.0
DEP-REL-CHG::parataxis→nummod::None,nummod,7,1.0,1.0
TED-RTED::31→31::None,31,7,1.0,1.0
VERB-FORM-CHG::Fin→Part::None,Part,7,1.0,1.0
DEP-REL-CHG::acl→amod::None,amod,7,1.0,1.0
DEP-REL-CHG::mark→ccomp::None,ccomp,7,1.0,1.0
DEP-REL-CHG::det→advcl::None,advcl,7,1.0,1.0
DEP-REL-CHG::xcomp→aux::None,aux,7,1.0,1.0
DEP-REL-CHG::acl:relcl→nsubj::None,nsubj,7,1.0,1.0
DEP-REL-CHG::amod→nmod::None,nmod,7,1.0,1.0
DEP-REL-CHG::mark→nmod::None,nmod,7,1.0,1.0
DEP-REL-CHG::advmod→aux:pass::None,aux:pass,7,1.0,1.0
DEP-REL-CHG::punct→nsubj:pass::None,nsubj:pass,7,1.0,1.0
DEP-REL-CHG::compound:prt→aux::None,aux,7,1.0,1.0
DEP-REL-CHG::punct→advmod::None,advmod,7,1.0,1.0
DEP-REL-CHG::parataxis→amod::None,amod,7,1.0,1.0
DEP-REL-CHG::parataxis→root::None,root,7,1.0,1.0
LENGTH-CHG::6→9::None,9,7,1.0,1.0
DEP-REL-CHG::nsubj→xcomp::None,xcomp,6,1.0,1.0
DEP-REL-CHG::root→ccomp::None,ccomp,6,1.0,1.0
TED-RTED::32→32::None,32,6,1.0,1.0
DEP-REL-CHG::ccomp→punct::None,punct,6,1.0,1.0
DEP-REL-CHG::xcomp→nsubj::None,nsubj,6,1.0,1.0
TED-ZHANG-SHASHA::28→28::None,28,6,1.0,1.0
DEP-REL-CHG::flat→aux::None,aux,6,1.0,1.0
DEP-REL-CHG::cc→det::None,det,6,1.0,1.0
DEP-REL-CHG::aux:pass→mark::None,mark,6,1.0,1.0
DEP-REL-CHG::nsubj:pass→nsubj::None,nsubj,6,1.0,1.0
DEP-REL-CHG::nmod→conj::None,conj,6,1.0,1.0
DEP-REL-CHG::cc→punct::None,punct,6,1.0,1.0
DEP-REL-CHG::nsubj:pass→root::None,root,6,1.0,1.0
DEP-REL-CHG::cc→nsubj::None,nsubj,6,1.0,1.0
DEP-REL-CHG::xcomp→ccomp::None,ccomp,6,1.0,1.0
TED-SIMPLE::5→5::None,5,6,1.0,1.0
DEP-REL-CHG::cc→case::None,case,6,1.0,1.0
DEP-REL-CHG::advmod→ccomp::None,ccomp,6,1.0,1.0
TED-ZHANG-SHASHA::29→29::None,29,6,1.0,1.0
HEAD-CHG::7→5::None,5,6,1.0,1.0
DEP-REL-CHG::flat→ccomp::None,ccomp,6,1.0,1.0
DEP-REL-CHG::compound→compound:prt::None,compound:prt,6,1.0,1.0
DEP-REL-CHG::amod→flat::None,flat,6,1.0,1.0
HEAD-CHG::7→9::None,9,6,1.0,1.0
DEP-REL-CHG::amod→cop::None,cop,6,1.0,1.0
FW-ADD::ART-ADD→ABSENT::None,ABSENT,6,1.0,1.0
DEP-REL-CHG::ccomp→aux::None,aux,6,1.0,1.0
DEP-REL-CHG::acl:relcl→det::None,det,6,1.0,1.0
DEP-REL-CHG::root→xcomp::None,xcomp,6,1.0,1.0
DEP-REL-CHG::mark→cop::None,cop,6,1.0,1.0
DEP-REL-CHG::punct→cop::None,cop,6,1.0,1.0
LENGTH-CHG::9→10::None,10,6,1.0,1.0
DEP-REL-CHG::advcl→aux::None,aux,6,1.0,1.0
LENGTH-CHG::16→18::None,18,6,1.0,1.0
DEP-REL-CHG::parataxis→nmod::None,nmod,6,1.0,1.0
LENGTH-CHG::16→15::None,15,6,1.0,1.0
HEAD-CHG::3→5::None,5,6,1.0,1.0
DEP-REL-CHG::appos→conj::None,conj,6,1.0,1.0
LENGTH-CHG::9→15::None,15,6,1.0,1.0
LENGTH-CHG::6→10::None,10,6,1.0,1.0
TED-ZHANG-SHASHA::3→3::None,3,6,1.0,1.0
TED-KLEIN::3→3::None,3,6,1.0,1.0
TED-RTED::3→3::None,3,6,1.0,1.0
DEP-REL-CHG::nsubj:pass→punct::None,punct,6,1.0,1.0
LENGTH-CHG::8→9::None,9,6,1.0,1.0
DEP-REL-CHG::aux→nmod::None,nmod,5,1.0,1.0
DEP-REL-CHG::aux→mark::None,mark,5,1.0,1.0
DEP-REL-CHG::advcl→compound::None,compound,5,1.0,1.0
DEP-REL-CHG::ccomp→root::None,root,5,1.0,1.0
DEP-REL-CHG::case→obl:unmarked::None,obl:unmarked,5,1.0,1.0
DEP-REL-CHG::advcl→amod::None,amod,5,1.0,1.0
DEP-REL-CHG::parataxis→mark::None,mark,5,1.0,1.0
DEP-REL-CHG::nsubj→advcl::None,advcl,5,1.0,1.0
LENGTH-CHG::14→15::None,15,5,1.0,1.0
DEP-REL-CHG::nsubj→nmod::None,nmod,5,1.0,1.0
DEP-REL-CHG::nsubj→cop::None,cop,5,1.0,1.0
DEP-REL-CHG::conj→ccomp::None,ccomp,5,1.0,1.0
DEP-REL-CHG::nummod→conj::None,conj,5,1.0,1.0
DEP-REL-CHG::nummod→amod::None,amod,5,1.0,1.0
DEP-REL-CHG::advmod→flat::None,flat,5,1.0,1.0
DEP-REL-CHG::flat→advmod::None,advmod,5,1.0,1.0
LENGTH-CHG::13→14::None,14,5,1.0,1.0
DEP-REL-CHG::advmod→nsubj:pass::None,nsubj:pass,5,1.0,1.0
FW-ADD::SCONJ-ADD→ABSENT::None,ABSENT,5,1.0,1.0
DEP-REL-CHG::conj→det::None,det,5,1.0,1.0
DEP-REL-CHG::compound→acl::None,acl,5,1.0,1.0
DEP-REL-CHG::cop→case::None,case,5,1.0,1.0
DEP-REL-CHG::obl→cop::None,cop,5,1.0,1.0
DEP-REL-CHG::punct→compound:prt::None,compound:prt,5,1.0,1.0
DEP-REL-CHG::advmod→obj::None,obj,5,1.0,1.0
LENGTH-CHG::13→18::None,18,5,1.0,1.0
DEP-REL-CHG::root→acl::None,acl,5,1.0,1.0
DEP-REL-CHG::ccomp→mark::None,mark,5,1.0,1.0
DEP-REL-CHG::nmod:poss→aux:pass::None,aux:pass,5,1.0,1.0
DEP-REL-CHG::xcomp→punct::None,punct,5,1.0,1.0
LENGTH-CHG::14→22::None,22,5,1.0,1.0
DEP-REL-CHG::appos→cc::None,cc,5,1.0,1.0
TED-RTED::34→34::None,34,5,1.0,1.0
DEP-REL-CHG::obj→acl:relcl::None,acl:relcl,5,1.0,1.0
DEP-REL-CHG::acl→obl::None,obl,5,1.0,1.0
DEP-REL-CHG::appos→ccomp::None,ccomp,5,1.0,1.0
DEP-REL-CHG::advcl→case::None,case,5,1.0,1.0
DEP-REL-CHG::amod→xcomp::None,xcomp,5,1.0,1.0
DEP-REL-CHG::acl:relcl→aux::None,aux,5,1.0,1.0
LENGTH-CHG::17→16::None,16,5,1.0,1.0
LENGTH-CHG::15→22::None,22,5,1.0,1.0
DEP-REL-CHG::appos→nsubj::None,nsubj,5,1.0,1.0
LENGTH-CHG::5→8::None,8,5,1.0,1.0
DEP-REL-CHG::nmod→aux:pass::None,aux:pass,5,1.0,1.0
LENGTH-CHG::7→12::None,12,5,1.0,1.0
