pattern,transformation,instances,consistency,confidence
TED-SIMPLE,10,1034,0.9642166344294004,0.9642166344294004
C-ADD,ABSENT,540,1.0,1.0
FW-ADD,ABSENT,170,1.0,1.0
CONST-ADD,ABSENT,124,1.0,1.0
