Newspaper,METEOR_Ratio,BLEU1_Ratio,ROUGEL_Ratio,chrF_Ratio,Perplexity_Ratio,NormalizedPP_Ratio,Entropy_Ratio
Times-of-India,0.8212054975736189,0.9646959123798047,0.9472735056027333,1.0239505453095792,0.6025358090961297,0.998661785242366,0.8934691539989834
Hindustan-Times,0.7761693690444251,0.9968155515689126,0.9287171136786885,1.0232949078322708,0.459988133695605,0.9980606063495275,0.8391462505284064
The-Hindu,0.6806470900429943,0.69808971738612,0.9232731383886217,0.9982191309280399,0.6224148511376121,0.9981954864851375,0.8934756261896952
