Newspaper,Direction,BLEU-1,BLEU-2,BLEU-4,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,chrF,Num_Samples,Direction_Label,Num_Transformations,Num_Patterns,Perplexity,Normalized_PP,Entropy
Times-of-India,H2C,0.5862865725575833,0.48451294500919867,0.3168518402952817,0.6279204811556014,0.8040859820222422,0.6125912149974657,0.764298574862556,0.955630270704228,500,Expansion,6075,416,116.22256015088088,1.0114970965192311,6.860746329590118
Times-of-India,C2H,0.6077423621618497,0.5029533092875084,0.3386502811740288,0.764632583453096,0.8565059049404592,0.6940199614408894,0.8068404429576508,0.9332777594403299,500,Reduction,8161,421,70.02825431573461,1.0101434961773652,6.129865218900513
Hindustan-Times,H2C,0.5279017603189968,0.4134814521517426,0.24394272843321446,0.5655101078487651,0.7893263095029336,0.5662704155697736,0.7282212949919928,0.9494571098897328,500,Expansion,7237,415,124.92403626712212,1.0117009529179486,6.964907278146651
Hindustan-Times,C2H,0.5295882066527947,0.41548643664293833,0.24826274374238355,0.7285911173549511,0.8506795575024937,0.6684277072308171,0.7841152965379059,0.9278430906111369,500,Reduction,10861,418,57.46357429623558,1.0097388665136826,5.84457582773477
The-Hindu,H2C,0.4774731963078422,0.38101053746697455,0.22882090924403298,0.49873716582540567,0.8402360409672692,0.5131599531155892,0.8224490752361616,0.9423119739627812,500,Expansion,3195,305,85.71941918743401,1.0147007109306845,6.421550169607289
The-Hindu,C2H,0.6839711063151891,0.4755620386982308,0.28173353679166974,0.7327397312370821,0.9088014835452459,0.6072951453872103,0.8907971444632006,0.9439931020824235,500,Reduction,5406,311,53.353039533149314,1.0128696697842694,5.737498558898416
