feature,pos,headline_value,canonical_value,frequency,context,rule_description
VerbForm,VERB,Inf,Part,25,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Inf, change to Part"
VerbForm,VERB,Inf,Fin,24,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Inf, change to Fin"
VerbForm,ADJ,ABSENT,Inf,23,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has VerbForm=ABSENT, change to Inf"
VerbForm,NOUN,ABSENT,Inf,21,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has VerbForm=ABSENT, change to Inf"
VerbForm,VERB,Ger,ABSENT,19,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Ger, change to ABSENT"
VerbForm,VERB,Part,Ger,10,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Part, change to Ger"
Degree,PROPN,ABSENT,Pos,306,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Degree=ABSENT, change to Pos"
Degree,ADJ,Pos,ABSENT,283,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Pos, change to ABSENT"
Degree,NOUN,ABSENT,Pos,164,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Degree=ABSENT, change to Pos"
Degree,VERB,ABSENT,Pos,78,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False""}","When VERB has Degree=ABSENT, change to Pos"
Degree,VERB,ABSENT,Cmp,17,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Degree=ABSENT, change to Cmp"
Tense,VERB,Past,ABSENT,286,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Past, change to ABSENT"
Tense,NOUN,ABSENT,Past,175,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Tense=ABSENT, change to Past"
Tense,VERB,Pres,ABSENT,168,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Pres, change to ABSENT"
Tense,VERB,ABSENT,Past,90,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=ABSENT, change to Past"
Tense,NOUN,ABSENT,Pres,88,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Tense=ABSENT, change to Pres"
Tense,ADJ,ABSENT,Past,76,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Tense=ABSENT, change to Past"
Tense,PROPN,ABSENT,Past,35,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Tense=ABSENT, change to Past"
Tense,VERB,Pres,Past,27,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Pres, change to Past"
Tense,ADJ,ABSENT,Pres,19,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Tense=ABSENT, change to Pres"
Tense,VERB,ABSENT,Pres,10,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=ABSENT, change to Pres"
NumType,VERB,ABSENT,Ord,14,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has NumType=ABSENT, change to Ord"
NumForm,ADJ,Combi,Word,29,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has NumForm=Combi, change to Word"
NumForm,VERB,ABSENT,Word,14,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has NumForm=ABSENT, change to Word"
