feature_id,default_transformation,confidence,frequency
CONST-MOV,CONST-FRONT,0.946950304528202,10728
FW-DEL,ART-DEL,1.0,2240
CLAUSE-TYPE-CHG,Part,0.6228146853146853,1425
DEP-REL-CHG,det,0.37968426088343166,2381
TED-SIMPLE,10,1.0,891
C-DEL,NOUN-DEL,1.0,538
C-ADD,ABSENT,1.0,196
CONST-REM,SBAR-REM,1.0,128
