feature_id,canonical_value,headline_value,transformation,count
BRANCH-DIFF,2.36,2.10,2.36→2.10,4
BRANCH-DIFF,2.12,1.88,2.12→1.88,4
BRANCH-DIFF,2.20,1.91,2.20→1.91,4
BRANCH-DIFF,2.08,1.82,2.08→1.82,4
BRANCH-DIFF,1.92,1.75,1.92→1.75,4
BRANCH-DIFF,2.33,2.22,2.33→2.22,4
BRANCH-DIFF,1.93,1.69,1.93→1.69,4
BRANCH-DIFF,2.50,2.33,2.50→2.33,4
BRANCH-DIFF,2.08,1.83,2.08→1.83,4
BRANCH-DIFF,2.30,2.11,2.30→2.11,4
BRANCH-DIFF,1.90,1.80,1.90→1.80,4
BRANCH-DIFF,2.09,2.12,2.09→2.12,4
BRANCH-DIFF,2.36,2.20,2.36→2.20,4
BRANCH-DIFF,1.94,1.79,1.94→1.79,4
BRANCH-DIFF,1.94,1.80,1.94→1.80,4
BRANCH-DIFF,1.94,1.92,1.94→1.92,4
BRANCH-DIFF,2.15,1.92,2.15→1.92,4
BRANCH-DIFF,1.94,1.73,1.94→1.73,4
BRANCH-DIFF,1.92,1.90,1.92→1.90,3
BRANCH-DIFF,2.44,2.25,2.44→2.25,3
BRANCH-DIFF,2.21,1.92,2.21→1.92,3
BRANCH-DIFF,2.10,1.90,2.10→1.90,3
BRANCH-DIFF,2.38,2.33,2.38→2.33,3
BRANCH-DIFF,1.95,1.85,1.95→1.85,3
BRANCH-DIFF,2.00,1.67,2.00→1.67,3
BRANCH-DIFF,2.33,2.09,2.33→2.09,3
BRANCH-DIFF,1.88,1.82,1.88→1.82,3
BRANCH-DIFF,2.30,2.12,2.30→2.12,3
BRANCH-DIFF,2.14,2.00,2.14→2.00,3
BRANCH-DIFF,2.00,1.79,2.00→1.79,3
BRANCH-DIFF,1.88,1.80,1.88→1.80,3
BRANCH-DIFF,2.33,2.50,2.33→2.50,3
BRANCH-DIFF,2.33,2.25,2.33→2.25,3
BRANCH-DIFF,2.27,2.11,2.27→2.11,3
BRANCH-DIFF,2.07,1.91,2.07→1.91,3
BRANCH-DIFF,2.15,1.83,2.15→1.83,3
BRANCH-DIFF,2.30,2.29,2.30→2.29,3
BRANCH-DIFF,2.11,1.88,2.11→1.88,3
BRANCH-DIFF,1.94,1.75,1.94→1.75,3
BRANCH-DIFF,1.87,1.83,1.87→1.83,3
BRANCH-DIFF,1.93,1.77,1.93→1.77,3
BRANCH-DIFF,2.11,1.92,2.11→1.92,3
BRANCH-DIFF,2.27,2.10,2.27→2.10,3
BRANCH-DIFF,1.88,1.73,1.88→1.73,3
BRANCH-DIFF,2.09,1.89,2.09→1.89,3
BRANCH-DIFF,2.00,2.09,2.00→2.09,3
BRANCH-DIFF,2.00,1.89,2.00→1.89,3
BRANCH-DIFF,2.00,1.73,2.00→1.73,3
BRANCH-DIFF,2.42,2.10,2.42→2.10,3
BRANCH-DIFF,1.94,1.93,1.94→1.93,3
BRANCH-DIFF,1.94,1.67,1.94→1.67,3
BRANCH-DIFF,1.94,1.85,1.94→1.85,3
BRANCH-DIFF,2.17,2.10,2.17→2.10,3
BRANCH-DIFF,2.23,1.85,2.23→1.85,3
BRANCH-DIFF,1.95,1.88,1.95→1.88,3
