feature_id,rank,transformation,count,pattern_type
1.81,0,1.81→1.69,1,changes
1.82,0,1.82→1.62,1,changes
1.82,0,1.82→1.65,1,changes
1.82,0,1.82→1.85,1,changes
1.82,0,1.82→1.67,1,changes
1.82,0,1.82→2.57,1,changes
1.82,0,1.82→1.64,1,changes
1.83,0,1.83→1.80,1,changes
1.83,0,1.83→1.70,1,changes
1.83,0,1.83→1.71,1,changes
1.84,0,1.84→1.81,1,changes
1.84,0,1.84→1.71,1,changes
1.84,0,1.84→1.85,1,changes
1.84,0,1.84→1.93,1,changes
1.84,0,1.84→2.00,1,changes
1.84,0,1.84→1.79,1,changes
1.85,0,1.85→1.73,2,changes
1.85,0,1.85→1.89,1,changes
1.85,0,1.85→2.00,1,changes
1.85,0,1.85→1.80,1,changes
1.85,0,1.85→1.82,1,changes
1.85,0,1.85→1.75,1,changes
1.85,0,1.85→1.86,1,changes
1.85,0,1.85→1.93,1,changes
1.85,0,1.85→1.69,1,changes
1.86,0,1.86→1.92,1,changes
1.86,0,1.86→1.64,1,changes
1.86,0,1.86→1.69,1,changes
1.86,0,1.86→1.91,1,changes
1.86,0,1.86→1.75,1,changes
1.86,0,1.86→1.77,1,changes
1.86,0,1.86→1.74,1,changes
1.87,0,1.87→1.83,3,changes
1.87,0,1.87→1.77,2,changes
1.87,0,1.87→1.71,1,changes
1.87,0,1.87→1.92,1,changes
1.87,0,1.87→1.91,1,changes
1.87,0,1.87→1.69,1,changes
1.88,0,1.88→1.82,3,changes
1.88,0,1.88→1.80,3,changes
1.88,0,1.88→1.73,3,changes
1.88,0,1.88→1.85,2,changes
1.88,0,1.88→1.92,2,changes
1.88,0,1.88→1.75,2,changes
1.88,0,1.88→1.83,2,changes
1.88,0,1.88→2.36,1,changes
1.88,0,1.88→1.71,1,changes
1.88,0,1.88→1.77,1,changes
1.88,0,1.88→2.11,1,changes
1.88,0,1.88→1.67,1,changes
1.88,0,1.88→1.62,1,changes
1.88,0,1.88→1.87,1,changes
1.88,0,1.88→1.81,1,changes
1.88,0,1.88→1.91,1,changes
1.88,0,1.88→1.93,1,changes
1.88,0,1.88→1.94,1,changes
1.89,0,1.89→1.75,2,changes
1.89,0,1.89→1.50,1,changes
1.89,0,1.89→1.14,1,changes
1.89,0,1.89→1.81,1,changes
1.89,0,1.89→1.91,1,changes
1.89,0,1.89→1.73,1,changes
