pair_unit,frequency,rank
CONST-MOV:CONST-FRONT→CONST-FRONT,11805,1
CLAUSE-TYPE-CHG:Part→Fin,1341,2
CONST-MOV:CONST-POST→CONST-POST,1294,3
FW-DEL:AUX-DEL→ABSENT,1171,4
TED-SIMPLE:10→10,1128,5
FW-DEL:ART-DEL→ABSENT,1065,6
CLAUSE-TYPE-CHG:Fin→Inf,749,7
CLAUSE-TYPE-CHG:Fin→Part,612,8
C-DEL:VERB-DEL→ABSENT,609,9
C-DEL:NOUN-DEL→ABSENT,598,10
