feature_id,unique_transformations
FW-DEL,6
C-DEL,4
C-ADD,4
DEP-REL-CHG,847
LENGTH-CHG,111
CONST-ADD,5
CONST-MOV,2
CLAUSE-TYPE-CHG,7
TED-SIMPLE,7
TED-ZHANG-SHASHA,41
TED-KLEIN,38
TED-RTED,55
FW-ADD,6
FORM-CHG,53
FEAT-CHG,28
HEAD-CHG,58
CONST-REM,6
VERB-FORM-CHG,7
POS-CHG,6
TOKEN-REORDER,2
LEMMA-CHG,15
