feature_id,canonical_value,headline_value,transformation,count,percentage
FW-DEL,AUX-DEL,ABSENT,AUX-DEL→ABSENT,836,50.331125827814574
FW-DEL,ART-DEL,ABSENT,ART-DEL→ABSENT,622,37.4473208910295
FW-DEL,PRON-PERS-DEL,ABSENT,PRON-PERS-DEL→ABSENT,61,3.6724864539434074
FW-DEL,CCONJ-DEL,ABSENT,CCONJ-DEL→ABSENT,57,3.431667670078266
FW-DEL,ADP-DEL,ABSENT,ADP-DEL→ABSENT,49,2.9500301023479834
FW-DEL,SCONJ-DEL,ABSENT,SCONJ-DEL→ABSENT,36,2.167369054786273
