feature_id,unique_transformations
FW-DEL,6
C-ADD,4
POS-CHG,5
FORM-CHG,46
DEP-REL-CHG,584
FEAT-CHG,30
LENGTH-CHG,93
CONST-MOV,2
CLAUSE-TYPE-CHG,7
TED-SIMPLE,10
TED-ZHANG-SHASHA,35
TED-KLEIN,31
TED-RTED,36
PUNCT-DEL,6
PUNCT-ADD,9
PUNCT-SUBST,4
H-STRUCT,2
H-TYPE,2
TREE-DEPTH-DIFF,76
CONST-COUNT-DIFF,278
DEP-DIST-DIFF,666
BRANCH-DIFF,452
CONST-ADD,5
C-DEL,4
CONST-REM,7
HEAD-CHG,40
FW-ADD,5
VERB-FORM-CHG,5
TOKEN-REORDER,2
LEMMA-CHG,24
