feature_id,canonical_value,headline_value,transformation,count
DEP-REL-CHG,root,nummod,root→nummod,15
DEP-REL-CHG,mark,compound,mark→compound,15
DEP-REL-CHG,aux:pass,mark,aux:pass→mark,15
DEP-REL-CHG,amod,nsubj,amod→nsubj,15
DEP-REL-CHG,obl,compound,obl→compound,14
DEP-REL-CHG,nmod,root,nmod→root,14
DEP-REL-CHG,aux:pass,obl,aux:pass→obl,14
DEP-REL-CHG,det,nsubj:pass,det→nsubj:pass,14
DEP-REL-CHG,punct,root,punct→root,14
DEP-REL-CHG,root,nsubj,root→nsubj,13
DEP-REL-CHG,mark,case,mark→case,13
DEP-REL-CHG,case,root,case→root,13
DEP-REL-CHG,obj,obl,obj→obl,13
DEP-REL-CHG,mark,advcl,mark→advcl,13
DEP-REL-CHG,nsubj,obj,nsubj→obj,12
DEP-REL-CHG,ccomp,root,ccomp→root,12
DEP-REL-CHG,nmod:poss,obj,nmod:poss→obj,12
DEP-REL-CHG,nsubj,aux,nsubj→aux,11
DEP-REL-CHG,aux:pass,amod,aux:pass→amod,11
DEP-REL-CHG,mark,amod,mark→amod,11
DEP-REL-CHG,det,appos,det→appos,10
DEP-REL-CHG,root,parataxis,root→parataxis,10
DEP-REL-CHG,case,nmod:poss,case→nmod:poss,10
DEP-REL-CHG,aux,nsubj,aux→nsubj,10
DEP-REL-CHG,root,nmod:poss,root→nmod:poss,10
DEP-REL-CHG,amod,punct,amod→punct,10
DEP-REL-CHG,det,nmod:poss,det→nmod:poss,10
DEP-REL-CHG,obl,punct,obl→punct,10
DEP-REL-CHG,mark,acl,mark→acl,10
DEP-REL-CHG,expl,root,expl→root,10
DEP-REL-CHG,acl,case,acl→case,9
DEP-REL-CHG,root,advmod,root→advmod,9
DEP-REL-CHG,advmod,case,advmod→case,9
DEP-REL-CHG,nmod,punct,nmod→punct,9
DEP-REL-CHG,root,appos,root→appos,9
DEP-REL-CHG,expl,punct,expl→punct,9
DEP-REL-CHG,compound,xcomp,compound→xcomp,9
DEP-REL-CHG,compound,nummod,compound→nummod,9
DEP-REL-CHG,xcomp,case,xcomp→case,9
DEP-REL-CHG,advcl,case,advcl→case,9
DEP-REL-CHG,compound,flat,compound→flat,9
DEP-REL-CHG,aux:pass,xcomp,aux:pass→xcomp,9
DEP-REL-CHG,nummod,case,nummod→case,9
DEP-REL-CHG,obj,root,obj→root,9
DEP-REL-CHG,punct,amod,punct→amod,9
DEP-REL-CHG,nummod,nsubj:pass,nummod→nsubj:pass,9
DEP-REL-CHG,nsubj,nmod,nsubj→nmod,9
DEP-REL-CHG,det,nummod,det→nummod,9
DEP-REL-CHG,xcomp,punct,xcomp→punct,9
DEP-REL-CHG,aux:pass,punct,aux:pass→punct,8
DEP-REL-CHG,compound,appos,compound→appos,8
DEP-REL-CHG,ccomp,punct,ccomp→punct,8
DEP-REL-CHG,case,appos,case→appos,8
DEP-REL-CHG,mark,obl,mark→obl,8
DEP-REL-CHG,aux,obl,aux→obl,8
DEP-REL-CHG,root,advcl,root→advcl,8
DEP-REL-CHG,aux:pass,nummod,aux:pass→nummod,8
DEP-REL-CHG,compound:prt,obj,compound:prt→obj,8
DEP-REL-CHG,punct,appos,punct→appos,8
DEP-REL-CHG,obj,advcl,obj→advcl,8
DEP-REL-CHG,nummod,compound,nummod→compound,8
DEP-REL-CHG,case,nsubj,case→nsubj,8
DEP-REL-CHG,det,mark,det→mark,8
DEP-REL-CHG,nsubj:pass,mark,nsubj:pass→mark,8
DEP-REL-CHG,punct,nsubj,punct→nsubj,8
DEP-REL-CHG,nsubj:pass,punct,nsubj:pass→punct,8
DEP-REL-CHG,punct,cop,punct→cop,8
DEP-REL-CHG,nummod,obl,nummod→obl,7
DEP-REL-CHG,cop,mark,cop→mark,7
DEP-REL-CHG,advcl,obj,advcl→obj,7
DEP-REL-CHG,mark,punct,mark→punct,7
DEP-REL-CHG,root,obl:unmarked,root→obl:unmarked,7
DEP-REL-CHG,punct,nmod,punct→nmod,7
DEP-REL-CHG,cop,det,cop→det,7
DEP-REL-CHG,compound:prt,case,compound:prt→case,7
DEP-REL-CHG,det,advcl,det→advcl,7
DEP-REL-CHG,obl,amod,obl→amod,7
DEP-REL-CHG,xcomp,compound,xcomp→compound,6
DEP-REL-CHG,flat,root,flat→root,6
DEP-REL-CHG,obl,appos,obl→appos,6
DEP-REL-CHG,conj,compound,conj→compound,6
DEP-REL-CHG,aux,aux:pass,aux→aux:pass,6
DEP-REL-CHG,xcomp,amod,xcomp→amod,6
DEP-REL-CHG,obj,nummod,obj→nummod,6
DEP-REL-CHG,punct,parataxis,punct→parataxis,6
DEP-REL-CHG,obj,mark,obj→mark,6
DEP-REL-CHG,advcl,compound,advcl→compound,6
DEP-REL-CHG,nummod,root,nummod→root,6
DEP-REL-CHG,nummod,obj,nummod→obj,6
DEP-REL-CHG,compound,mark,compound→mark,6
DEP-REL-CHG,root,compound:prt,root→compound:prt,6
DEP-REL-CHG,aux:pass,obj,aux:pass→obj,6
DEP-REL-CHG,ccomp,obj,ccomp→obj,6
DEP-REL-CHG,cc,amod,cc→amod,6
DEP-REL-CHG,cop,compound,cop→compound,6
DEP-REL-CHG,nsubj:pass,compound,nsubj:pass→compound,6
DEP-REL-CHG,aux,advmod,aux→advmod,6
DEP-REL-CHG,cc,compound,cc→compound,5
DEP-REL-CHG,obj,acl,obj→acl,5
DEP-REL-CHG,cop,root,cop→root,5
DEP-REL-CHG,obj,appos,obj→appos,5
DEP-REL-CHG,case,flat,case→flat,5
DEP-REL-CHG,nmod,amod,nmod→amod,5
DEP-REL-CHG,det,xcomp,det→xcomp,5
DEP-REL-CHG,aux,compound:prt,aux→compound:prt,5
