pair_unit,frequency
DEP-REL-CHG:punct→compound,28
DEP-REL-CHG:det→nsubj,119
DEP-REL-CHG:root→appos,9
DEP-REL-CHG:det→root,73
HEAD-CHG:10→11,1
HEAD-CHG:6→5,12
LENGTH-CHG:15→11,12
TED-ZHANG-SHASHA:15→15,50
TED-RTED:13→13,51
CONST-COUNT-DIFF:25→20,7
DEP-DIST-DIFF:2.71→2.70,1
BRANCH-DIFF:2.40→2.11,1
FW-DEL:SCONJ-DEL→ABSENT,36
C-DEL:ADJ-DEL→ABSENT,59
C-ADD:ABSENT→VERB-ADD,33
FORM-CHG:been→was,1
DEP-REL-CHG:expl→punct,9
DEP-REL-CHG:aux→expl,1
DEP-REL-CHG:aux:pass→root,21
DEP-REL-CHG:root→nsubj,13
DEP-REL-CHG:mark→case,13
DEP-REL-CHG:expl→obl,1
DEP-REL-CHG:ccomp→punct,8
DEP-REL-CHG:case→parataxis,3
FEAT-CHG:Mood=ABSENT→Mood=Ind,9
FEAT-CHG:Person=ABSENT→Person=3,8
FEAT-CHG:VerbForm=Part→VerbForm=Fin,4
VERB-FORM-CHG:Part→Fin,4
LENGTH-CHG:18→10,2
TED-RTED:36→36,2
TREE-DEPTH-DIFF:13→8,2
CONST-COUNT-DIFF:36→22,1
DEP-DIST-DIFF:2.71→2.67,1
BRANCH-DIFF:1.94→1.75,1
DEP-REL-CHG:aux:pass→acl,20
LENGTH-CHG:8→5,29
TED-KLEIN:12→12,131
CONST-COUNT-DIFF:15→11,7
DEP-DIST-DIFF:2.00→1.25,8
BRANCH-DIFF:2.00→1.67,23
TREE-DEPTH-DIFF:3→3,340
CONST-COUNT-DIFF:4→4,45
DEP-DIST-DIFF:1.00→1.00,92
BRANCH-DIFF:1.50→1.50,52
TREE-DEPTH-DIFF:5→5,112
CONST-COUNT-DIFF:8→8,15
DEP-DIST-DIFF:1.50→1.50,30
BRANCH-DIFF:1.40→1.40,7
CONST-COUNT-DIFF:7→7,8
FW-ADD:ABSENT→PRON-PERS-ADD,5
FW-ADD:ABSENT→ADP-ADD,28
DEP-REL-CHG:root→punct,21
DEP-REL-CHG:obj→compound,25
DEP-REL-CHG:case→appos,8
DEP-REL-CHG:amod→case,22
DEP-REL-CHG:obl→nmod,23
LENGTH-CHG:10→9,26
TED-ZHANG-SHASHA:23→23,7
TED-KLEIN:14→14,87
TED-RTED:23→23,5
PUNCT-ADD:→hyphen,4
CONST-COUNT-DIFF:18→17,11
DEP-DIST-DIFF:2.22→2.12,1
DEP-REL-CHG:nsubj:pass→case,39
DEP-REL-CHG:case→nmod,91
LENGTH-CHG:10→5,19
TED-ZHANG-SHASHA:16→16,20
TED-KLEIN:16→16,35
TED-RTED:16→16,33
CONST-COUNT-DIFF:20→11,5
DEP-DIST-DIFF:1.89→1.25,3
BRANCH-DIFF:1.90→1.67,6
DEP-REL-CHG:amod→aux,2
DEP-REL-CHG:nsubj→advmod,2
DEP-REL-CHG:case→cop,3
DEP-REL-CHG:nmod→root,14
DEP-REL-CHG:aux→punct,16
DEP-REL-CHG:root→parataxis,10
LENGTH-CHG:14→7,2
TED-ZHANG-SHASHA:26→26,9
TED-RTED:30→30,2
PUNCT-SUBST:that→:,10
TREE-DEPTH-DIFF:10→7,11
CONST-COUNT-DIFF:29→17,1
DEP-DIST-DIFF:3.00→2.17,2
BRANCH-DIFF:1.87→1.60,1
DEP-REL-CHG:compound→xcomp,9
LENGTH-CHG:9→7,29
TED-SIMPLE:4→4,16
TED-ZHANG-SHASHA:4→4,53
TED-KLEIN:4→4,28
TED-RTED:4→4,48
CONST-COUNT-DIFF:15→13,9
DEP-DIST-DIFF:2.12→1.67,6
BRANCH-DIFF:2.33→2.00,8
DEP-REL-CHG:aux→case,67
DEP-REL-CHG:aux:pass→nmod,18
DEP-REL-CHG:case→amod,46
LENGTH-CHG:11→7,32
TED-ZHANG-SHASHA:13→13,61
TREE-DEPTH-DIFF:8→5,29
CONST-COUNT-DIFF:21→14,14
DEP-DIST-DIFF:2.80→2.50,1
BRANCH-DIFF:2.00→1.86,27
DEP-REL-CHG:aux→root,132
DEP-REL-CHG:amod→obl,24
HEAD-CHG:4→3,34
CONST-COUNT-DIFF:15→12,5
DEP-DIST-DIFF:2.00→1.60,7
BRANCH-DIFF:2.00→1.83,20
