feature_id,default_transformation,confidence,frequency
CONST-MOV,CONST-FRONT,0.9434704830053667,5274
FW-DEL,AUX-DEL,1.0,1650
TED-SIMPLE,10,1.0,766
DEP-REL-CHG,root,0.2692725298588491,992
CLAUSE-TYPE-CHG,Part,0.5035149384885764,573
C-DEL,VERB-DEL,1.0,352
CONST-REM,VP-REM,1.0,214
LENGTH-CHG,10,1.0,67
